pose,pose_x,pose_y,label
1,-11.56969777,-1.612015379,1
1,-15.0,10.0,1
1,-12.70595318,0.082977691,1
0,6.472188586,4.480844583,0
2,3.737665054,-14.4323517,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
2,13.90379033,-27.12875354,1
2,5.340034749,-18.59286323,1
2,6.655425593,-12.46533822,1
1,-15.0,10.0,1
0,-7.314136672,-9.482076378,1
0,11.79147604,14.52269313,1
0,-6.456561553,-9.357398079,1
1,-15.0,10.0,1
0,2.679743493,-7.07898019,0
0,10.71470616,-9.522123391,0
0,9.872649832,5.528952647,0
0,10.01896082,-1.234957631,0
0,10.41519482,4.089196399,0
0,10.59661534,-9.703654138,0
0,4.176591413,-7.036195922,0
0,9.793408358,6.172612752,0
0,0.790961379,-4.333324103,0
0,7.656940801,10.60734347,0
0,22.82878243,6.556693965,1
0,-2.161615754,-9.177810425,1
0,7.847823598,14.35077289,1
0,7.018687925,13.15907388,1
0,0.435977839,-2.399024749,0
0,3.068930333,-9.59642869,0
0,5.804167864,2.803790849,0
0,8.622726804,-9.877382882,0
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
0,9.220920901,3.857993257,0
0,9.19300671,-5.547434472,0
1,-15.0,10.0,1
0,7.228069957,3.044242302,0
1,-15.0,10.0,1
0,5.192607148,2.852159615,0
1,-15.0,10.0,1
1,-14.69691492,-6.000462969,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-12.63820691,-4.207822899,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
1,-15.0,10.0,1
3,13.93741588,18.24829711,1
3,13.13686792,17.42367585,1
3,13.06150253,18.94792618,1
3,9.63021555,16.82638761,1
3,10.9583715,19.00648332,1
0,8.34018604,-9.01896463,0
0,7.054052041,3.302011498,0
0,10.92342033,3.622709913,0
0,6.568565727,0.53818853,0
0,7.100773567,3.505315772,0
0,1.467602461,-3.560914996,0
0,5.422774075,11.1647365,0
0,6.428137337,-1.586876464,0
0,6.769917123,4.428723762,0
2,5.31278566,-12.90518036,1
2,3.523983964,-12.5612874,1
2,6.334787774,-14.51017626,1
1,-15.0,10.0,1
2,7.364076382,-13.59741236,1
2,11.25112918,-17.14612477,1
0,8.013221643,2.836668564,0
2,-10.7079451,-10.17873907,1
1,-15.0,10.0,1
3,10.47490774,26.16314838,1
1,-15.0,10.0,1
1,-15.0,10.0,1
3,8.808054026,28.04594008,1
3,8.192236709,22.75466862,1
3,13.18566725,27.84739815,1
0,7.334623178,10.56396285,0
1,-15.0,10.0,1
